"authors","title","doi","journal","habitat","region","scale_name","scale_size_m2","scale_size_km","type_study","sp_sar","richness","n_ind","simpson_diver","shannon_diver","n_rows","scale_type","record"
"Chen, Qingqing; Wang, Shaopeng; Seabloom, Eric W.; MacDougall, Andrew S.; Borer, Elizabeth T.; Bakker, Jonathan D.; Donohue, Ian; Knops, Johannes M. H.; Morgan, John W.; Carroll, Oliver; Crawley, Mick; Bugalho, Miguel N.; Power, Sally A.; Eskelinen, Anu; Virtanen, Risto; Risch, Anita C.; Schutz, Martin; Stevens, Carly; Caldeira, Maria C.; Bagchi, Sumanta; Alberti, Juan; Hautier, Yann","Nutrients and herbivores impact grassland stability across spatial scales through different pathways","10.1111/gcb.16084","GLOBAL CHANGE BIOLOGY","grassland","Global","large-scale",1000,NA,"exp",9,15,5000,0.869236224,2.29414076,7,"ecological_scale","m2"
"Odland, M. C.; Goodwin, M. J.; Smithers, B., V; Hurteau, M. D.; North, M. P.","Plant community response to thinning and repeated fire in Sierra Nevada mixed-conifer forest understories","10.1016/j.foreco.2021.119361","FOREST ECOLOGY AND MANAGEMENT","forest",NA,"local",10,NA,"exp",0,3,50,0.537183119,0.857237781,78,"ecological_scale","m2"
"Villar, Nacho; Siqueira, Tadeu; Zipparro, Valesca; Farah, Fabiano; Schmaedecke, Gabriela; Hortenci, Luana; Brocardo, Carlos Rodrigo; Jordano, Pedro; Galetti, Mauro","The cryptic regulation of diversity by functionally complementary large tropical forest herbivores","10.1111/1365-2745.13259","JOURNAL OF ECOLOGY","forest","South America","local",15,NA,"exp",0,4,75,0.712346985,1.317469631,78,"ecological_scale","m2"
"Baez, Selene; Homeier, Juergen","Functional traits determine tree growth and ecosystem productivity of a tropical montane forest: Insights from a long-term nutrient manipulation experiment","10.1111/gcb.13905","GLOBAL CHANGE BIOLOGY","forest","South America","local",400,NA,"exp",0,11,2000,0.856759297,2.115538597,78,"ecological_scale","m2"
"Chen, Qingqing; Wang, Shaopeng; Seabloom, Eric W.; MacDougall, Andrew S.; Borer, Elizabeth T.; Bakker, Jonathan D.; Donohue, Ian; Knops, Johannes M. H.; Morgan, John W.; Carroll, Oliver; Crawley, Mick; Bugalho, Miguel N.; Power, Sally A.; Eskelinen, Anu; Virtanen, Risto; Risch, Anita C.; Schutz, Martin; Stevens, Carly; Caldeira, Maria C.; Bagchi, Sumanta; Alberti, Juan; Hautier, Yann","Nutrients and herbivores impact grassland stability across spatial scales through different pathways","10.1111/gcb.16087","GLOBAL CHANGE BIOLOGY","grassland","Global","local",1,NA,"exp",0,1,5,0.995665777,5.557392448,78,"ecological_scale","m2"
"Li, Yi; Wang, Ming-Qiang; Chesters, Douglas; Anttonen, Perttu; Guo, Shi-Kun; Guo, Peng-Fei; Chen, Jing-Ting; Ma, Keping; Bruelheide, Helge; Schuldt, Andreas; Zhu, Chao-Dong","Differential impacts on herbivore diversity and scale dependence of tree diversity in subtropical forests","10.1111/1365-2745.14054","JOURNAL OF ECOLOGY","forest","Asia","local",665.64,NA,"exp",5,13,3328.2,0.856783124,2.178245545,78,"ecological_scale","m2"
"Reid, Matthew L.; Emery, Sarah M.","Scale-dependent effects of Gypsophila paniculata invasion and management on plant and soil nematode community diversity and heterogeneity","10.1016/j.biocon.2018.05.026","BIOLOGICAL CONSERVATION","desert and tundra","North America","local",1000,NA,"exp",9,15,5000,0.896534076,2.455951439,78,"ecological_scale","m2"
"Landsberg, J; James, CD; Maconochie, J; Nicholls, AO; Stol, J; Tynan, R","Scale-related effects of grazing on native plant communities in an arid rangeland region of South Australia","10.1046/j.1365-2664.2002.00719.x","JOURNAL OF APPLIED ECOLOGY","shrubland","Oceania","local",NA,NA,"exp",NA,NA,NA,NA,NA,78,"ecological_scale",NA
"Baron, Etienne; Richirt, Julien; Villoutreix, Romain; Amsellem, Laurent; Roux, Fabrice","The genetics of intra- and interspecific competitive response and effect in a local population of an annual plant species","10.1111/1365-2435.12436","FUNCTIONAL ECOLOGY",NA,"Europe","local",NA,NA,"exp",NA,NA,NA,NA,NA,78,"ecological_scale",NA
"Valone, TJ; Hoffman, CD","Effects of regional pool size on local diversity in small-scale annual plant communities","10.1046/j.1461-0248.2002.00344.x","ECOLOGY LETTERS","shrubland","North America","local",0.25,NA,"exp",0,0,1.25,0,0,78,"ecological_scale","m2"
"Myers, Jonathan A.; Harms, Kyle E.","Local immigration, competition from dominant guilds, and the ecological assembly of high-diversity pine savannas","10.1890/08-1953.1","ECOLOGY","grassland","North America","local",1,NA,"exp",0,1,5,0.995665777,5.557392448,78,"ecological_scale","m2"
"Tofts, R; Silvertown, J","Community assembly from the local species pool: an experimental study using congeneric species pairs","10.1046/j.1365-2745.2001.00673.x","JOURNAL OF ECOLOGY","grassland","Europe","local",2.5e+09,NA,"exp",171,669,1.25e+10,0.997160203,6.166418154,78,"ecological_scale","m2"
"Collins, SL; Glenn, SM; Briggs, JM","Effect of local and regional processes on plant species richness in tallgrass prairie","10.1034/j.1600-0706.2002.12112.x","OIKOS","palustrine wetland","North America","local",10,NA,"exp",0,3,50,0.615707941,1.021445108,78,"ecological_scale","m2"
"Bahram, Mohammad; Polme, Sergei; Koljalg, Urmas; Zarre, Shahin; Tedersoo, Leho","Regional and local patterns of ectomycorrhizal fungal diversity and community structure along an altitudinal gradient in the Hyrcanian forests of northern Iran","10.1111/j.1469-8137.2011.03927.x","NEW PHYTOLOGIST","forest","Asia","local",NA,NA,"exp",NA,NA,NA,NA,NA,78,"ecological_scale",NA
"Belote, R. Travis; Sanders, Nathan J.; Jones, Robert H.","Disturbance alters local-regional richness relationships in Appalachian forests","10.1890/08-1908.1","ECOLOGY","forest","North America","local",576,NA,"exp",3,13,2880,0.895308058,2.404733275,78,"ecological_scale","m2"
"Belote, R. Travis; Sanders, Nathan J.; Jones, Robert H.","Disturbance alters local-regional richness relationships in Appalachian forests","10.1890/08-1908.1","ECOLOGY","forest","North America","local",1,NA,"exp",0,1,5,0.995665777,5.557392448,78,"ecological_scale","m2"
"Laliberte, Etienne; Norton, David A.; Scott, David","Contrasting effects of productivity and disturbance on plant functional diversity at local and metacommunity scales","10.1111/jvs.12044","JOURNAL OF VEGETATION SCIENCE","grassland","Oceania","local",1,NA,"exp",0,1,5,0.995665777,5.557392448,78,"ecological_scale","m2"
"Williams, Neal M.; Winfree, Rachael","Local habitat characteristics but not landscape urbanization drive pollinator visitation and native plant pollination in forest remnants","10.1016/j.biocon.2012.12.035","BIOLOGICAL CONSERVATION","forest","North America","local",NA,0.2,"exp",NA,NA,NA,NA,NA,78,"ecological_scale","km"
"Grossman, Jake J.; Cavender-Bares, Jeannine; Hobbie, Sarah E.; Reich, Peter B.; Montgomery, Rebecca A.","Species richness and traits predict overyielding in stem growth in an early-successional tree diversity experiment","10.1002/ecy.1958","ECOLOGY","forest","North America","neighbourhood",1,NA,"exp",0,1,5,0.995665777,5.557392448,29,"ecological_scale","m2"
"Li, Yi; Wang, Ming-Qiang; Chesters, Douglas; Anttonen, Perttu; Guo, Shi-Kun; Guo, Peng-Fei; Chen, Jing-Ting; Ma, Keping; Bruelheide, Helge; Schuldt, Andreas; Zhu, Chao-Dong","Differential impacts on herbivore diversity and scale dependence of tree diversity in subtropical forests","10.1111/1365-2745.14054","JOURNAL OF ECOLOGY","forest","Asia","neighbourhood",5990.76,NA,"exp",29,24,29953.8,0.92798081,2.853253782,29,"ecological_scale","m2"
"Myers, Jonathan A.; Harms, Kyle E.","Local immigration, competition from dominant guilds, and the ecological assembly of high-diversity pine savannas","10.1890/08-1953.1","ECOLOGY","grassland","North America","neighbourhood",0.01,NA,"exp",0,0,0.05,0,0,29,"ecological_scale","m2"
"Herben, T; Krahulec, F; Hadincova, V; Pechackova, S","Clone-specific response of Festuca rubra to natural variation in biomass and species composition of neighbours","10.1034/j.1600-0706.2001.950105.x","OIKOS","grassland","Europe","neighbourhood",0.01,NA,"exp",0,0,0.05,0,0,29,"ecological_scale","m2"
"Jia, Shihong; Wang, Xugao; Hao, Zhanqing; Bagchi, Robert","The effects of natural enemies on herb diversity in a temperate forest depend on species traits and neighbouring tree composition","10.1111/1365-2745.13973","JOURNAL OF ECOLOGY","forest","Asia","neighbourhood",314.16,NA,"exp",0,11,1570.8,0.862459685,2.182356945,29,"ecological_scale","m2"
"Rayburn, Andrew P.; Schupp, Eugene W.","Effects of community- and neighborhood-scale spatial patterns on semi-arid perennial grassland community dynamics","10.1007/s00442-012-2567-6","OECOLOGIA","grassland","North America","neighbourhood",NA,NA,"exp",NA,NA,NA,NA,NA,29,"ecological_scale",NA
"Akashi, Nobuhiro","Responses of understory vascular plant communities up to 6 years after retention harvesting in planted Abies sachalinensis forests","10.1016/j.foreco.2023.120991","FOREST ECOLOGY AND MANAGEMENT","forest","Asia","patch",10000,NA,"exp",35,28,50000,0.936575228,3.017201895,27,"ecological_scale","m2"
"Damschen, Ellen I.; Brudvig, Lars A.","Landscape connectivity strengthens local-regional richness relationships in successional plant communities","10.1890/11-1797.1","ECOLOGY","grassland","North America","patch",1,NA,"exp",0,1,5,0.995665777,5.557392448,27,"ecological_scale","m2"
"Damschen, Ellen I.; Brudvig, Lars A.","Landscape connectivity strengthens local-regional richness relationships in successional plant communities","10.1890/11-1797.1","ECOLOGY","grassland","North America","patch",10000,NA,"exp",35,28,50000,0.933618398,2.949953214,27,"ecological_scale","m2"
"Damschen, Ellen I.; Brudvig, Lars A.","Landscape connectivity strengthens local-regional richness relationships in successional plant communities","10.1890/11-1797.1","ECOLOGY","grassland","North America","patch",13750,NA,"exp",38,30,68750,0.93196842,3.011283892,27,"ecological_scale","m2"
"Ren, Haiyan; Yurkonis, Kathryn A.; Wang, Lifeng; Chang, Jiechao; Vogeler, Iris; Chen, Dima; Liu, Manqiang; Yu, Qiang","Temporal stabilizing effects of species richness and seed arrangement on grassland biomass production","10.1111/1365-2745.13895","JOURNAL OF ECOLOGY","grassland","Asia","patch",0.0625,NA,"exp",0,0,0.3125,0,0,27,"ecological_scale","m2"
"Ren, Haiyan; Yurkonis, Kathryn A.; Wang, Lifeng; Chang, Jiechao; Vogeler, Iris; Chen, Dima; Liu, Manqiang; Yu, Qiang","Temporal stabilizing effects of species richness and seed arrangement on grassland biomass production","10.1111/1365-2745.13895","JOURNAL OF ECOLOGY","grassland","Asia","patch",0.25,NA,"exp",0,0,1.25,0,0,27,"ecological_scale","m2"
"Ren, Haiyan; Yurkonis, Kathryn A.; Wang, Lifeng; Chang, Jiechao; Vogeler, Iris; Chen, Dima; Liu, Manqiang; Yu, Qiang","Temporal stabilizing effects of species richness and seed arrangement on grassland biomass production","10.1111/1365-2745.13895","JOURNAL OF ECOLOGY","grassland","Asia","patch",1,NA,"exp",0,1,5,0.995665777,5.557392448,27,"ecological_scale","m2"
"Gunnarsson, Urban; Soderstrom, Lars","Can artificial introductions of diaspore fragments work as a conservation tool for maintaining populations of the rare peatmoss Sphagnum angermanicum?","10.1016/j.biocon.2006.10.014","BIOLOGICAL CONSERVATION","palustrine wetland","Europe","patch",0.04,NA,"exp",0,0,0.2,0,0,27,"ecological_scale","m2"
"Moran-Lopez, Teresa; Gonzalez-Castro, Aaron; Morales, Juan Manuel; Nogales, Manuel","Behavioural complementarity among frugivorous birds and lizards can promote plant diversity in island ecosystems","10.1111/1365-2435.13476","FUNCTIONAL ECOLOGY","shrubland","Europe","patch",40000,NA,"exp",50,40,2e+05,0.951757271,3.307683033,27,"ecological_scale","m2"
"Weigelt, Alexandra; Schumacher, Jens; Roscher, Christiane; Schmid, Bernhard","Does biodiversity increase spatial stability in plant community biomass?","10.1111/j.1461-0248.2007.01145.x","ECOLOGY LETTERS","grassland","Europe","patch",0.025,NA,"exp",0,0,0.125,0,0,27,"ecological_scale","m2"
"Weigelt, Alexandra; Schumacher, Jens; Roscher, Christiane; Schmid, Bernhard","Does biodiversity increase spatial stability in plant community biomass?","10.1111/j.1461-0248.2007.01145.x","ECOLOGY LETTERS","grassland","Europe","patch",0.05,NA,"exp",0,0,0.25,0,0,27,"ecological_scale","m2"
"Weigelt, Alexandra; Schumacher, Jens; Roscher, Christiane; Schmid, Bernhard","Does biodiversity increase spatial stability in plant community biomass?","10.1111/j.1461-0248.2007.01145.x","ECOLOGY LETTERS","grassland","Europe","patch",0.075,NA,"exp",0,0,0.375,0,0,27,"ecological_scale","m2"
"Weigelt, Alexandra; Schumacher, Jens; Roscher, Christiane; Schmid, Bernhard","Does biodiversity increase spatial stability in plant community biomass?","10.1111/j.1461-0248.2007.01145.x","ECOLOGY LETTERS","grassland","Europe","patch",0.1,NA,"exp",0,0,0.5,0,0,27,"ecological_scale","m2"
"Weigelt, Alexandra; Schumacher, Jens; Roscher, Christiane; Schmid, Bernhard","Does biodiversity increase spatial stability in plant community biomass?","10.1111/j.1461-0248.2007.01145.x","ECOLOGY LETTERS","grassland","Europe","patch",0.2,NA,"exp",0,0,1,0,0,27,"ecological_scale","m2"
"Weigelt, Alexandra; Schumacher, Jens; Roscher, Christiane; Schmid, Bernhard","Does biodiversity increase spatial stability in plant community biomass?","10.1111/j.1461-0248.2007.01145.x","ECOLOGY LETTERS","grassland","Europe","patch",0.4,NA,"exp",0,0,2,0,0,27,"ecological_scale","m2"
"Quested, HM; Cornelissen, JHC; Press, MC; Callaghan, TV; Aerts, R; Trosien, F; Riemann, P; Gwynn-Jones, D; Kondratchuk, A; Jonasson, SE","Decomposition of sub-arctic plants with differing nitrogen economies: A functional role for hemiparasites","10.1890/02-0426","ECOLOGY","desert and tundra","Europe","plot",1,NA,"exp",0,1,5,0.995665777,5.557392448,390,"method_scale","m2"
"Jabis, Meredith D.; Winkler, Daniel E.; Kueppers, Lara M.","Warming acts through earlier snowmelt to advance but not extend alpine community flowering","10.1002/ecy.3108","ECOLOGY","desert and tundra","North America","plot",7.069,NA,"exp",0,3,35.345,0.456250494,0.798004531,390,"method_scale","m2"
"Choler, P; Michalet, R; Callaway, RM","Facilitation and competition on gradients in alpine plant communities","10.1890/0012-9658(2001)082[3295:FACOGI]2.0.CO;2","ECOLOGY","desert and tundra","Europe","plot",0.01,NA,"exp",0,0,0.05,0,0,390,"method_scale","m2"
"Marushia, Robin G.; Cadotte, Marc W.; Holt, Jodie S.","Phenology as a basis for management of exotic annual plants in desert invasions","10.1111/j.1365-2664.2010.01881.x","JOURNAL OF APPLIED ECOLOGY","desert and tundra","North America","plot",8,NA,"exp",0,3,40,0.636220613,1.054812045,390,"method_scale","m2"
"Norghauer, Julian M.; Newbery, David M.","Recruitment limitation after mast-seeding in two African rain forest trees","10.1890/09-0071.1","ECOLOGY","forest","Africa","plot",3.14,NA,"exp",0,2,15.7,0.456688033,0.649187175,390,"method_scale","m2"
"Wolk, Brett; Rocca, Monique E.","Thinning and chipping small-diameter ponderosa pine changes understory plant communities on the Colorado Front Range","10.1016/j.foreco.2008.08.014","FOREST ECOLOGY AND MANAGEMENT","forest","North America","plot",1000,NA,"exp",9,15,5000,0.897533709,2.482325764,390,"method_scale","m2"
"Fichtner, Andreas; Schnabel, Florian; Bruelheide, Helge; Kunz, Matthias; Mausolf, Katharina; Schuldt, Andreas; Haerdtle, Werner; von Oheimb, Goddert","Neighbourhood diversity mitigates drought impacts on tree growth","10.1111/1365-2745.13353","JOURNAL OF ECOLOGY","forest","Asia","plot",665.64,NA,"exp",5,13,3328.2,0.811659565,2.051958188,390,"method_scale","m2"
"Souza, Yuri; Villar, Nacho; Zipparro, Valesca; Nazareth, Sergio; Galetti, Mauro","Large mammalian herbivores modulate plant growth form diversity in a tropical rainforest","10.1111/1365-2745.13846","JOURNAL OF ECOLOGY","forest","South America","plot",15,NA,"exp",0,4,75,0.680851117,1.234659102,390,"method_scale","m2"
"Hofmockel, Kirsten S.; Gallet-Budynek, Anne; McCarthy, Heather R.; Currie, William S.; Jackson, Robert B.; Finzi, Adrien C.","Sources of increased N uptake in forest trees growing under elevated CO2: results of a large-scale N-15 study","10.1111/j.1365-2486.2011.02465.x","GLOBAL CHANGE BIOLOGY","forest","North America","plot",706.9,NA,"exp",5,13,3534.5,0.894089919,2.39957847,390,"method_scale","m2"
"Glick, Morgan D.; Matlack, Glenn R.","Tree-base microsites contribute to physical heterogeneity and herb community structure in a temperate deciduous forest","10.1111/jvs.12943","JOURNAL OF VEGETATION SCIENCE","forest","North America","plot",NA,NA,"exp",NA,NA,NA,NA,NA,390,"method_scale",NA
"Glick, Morgan D.; Matlack, Glenn R.","Tree-base microsites contribute to physical heterogeneity and herb community structure in a temperate deciduous forest","10.1111/jvs.12943","JOURNAL OF VEGETATION SCIENCE","forest","North America","plot",1.131,NA,"exp",0,1,5.655,0.995665777,5.557392448,390,"method_scale","m2"
"Reed, Sasha C.; Townsend, Alan R.; Cleveland, Cory C.; Nemergut, Diana R.","Microbial community shifts influence patterns in tropical forest nitrogen fixation","10.1007/s00442-010-1649-6","OECOLOGIA","forest","Central America","plot",25,NA,"exp",0,5,125,0.722935563,1.420530034,390,"method_scale","m2"
"Kelly, Jay F.","Regional changes to forest understories since the mid-Twentieth Century: Effects of overabundant deer and other factors in northern New Jersey","10.1016/j.foreco.2019.04.050","FOREST ECOLOGY AND MANAGEMENT","forest","North America","plot",1,NA,"exp",0,1,5,0.995665777,5.557392448,390,"method_scale","m2"
"Kelly, Jay F.","Regional changes to forest understories since the mid-Twentieth Century: Effects of overabundant deer and other factors in northern New Jersey","10.1016/j.foreco.2019.04.050","FOREST ECOLOGY AND MANAGEMENT","forest","North America","plot",4,NA,"exp",0,2,20,0.339481614,0.52269873,390,"method_scale","m2"
"Grossman, Jake J.; Cavender-Bares, Jeannine; Hobbie, Sarah E.; Reich, Peter B.; Montgomery, Rebecca A.","Species richness and traits predict overyielding in stem growth in an early-successional tree diversity experiment","10.1002/ecy.1958","ECOLOGY","forest","North America","plot",9.25,NA,"exp",0,3,46.25,0.565701451,0.909762546,390,"method_scale","m2"
"Grossman, Jake J.; Cayender-Bares, Jeannine; Reich, Peter B.; Montgomery, Rebecca A.; Hobbie, Sarah E.","Neighborhood diversity simultaneously increased and decreased susceptibility to contrasting herbivores in an early stage forest diversity experiment","10.1111/1365-2745.13097","JOURNAL OF ECOLOGY","forest","North America","plot",1,NA,"exp",0,1,5,0.995665777,5.557392448,390,"method_scale","m2"
"Grossman, Jake J.; Cayender-Bares, Jeannine; Reich, Peter B.; Montgomery, Rebecca A.; Hobbie, Sarah E.","Neighborhood diversity simultaneously increased and decreased susceptibility to contrasting herbivores in an early stage forest diversity experiment","10.1111/1365-2745.13097","JOURNAL OF ECOLOGY","forest","North America","plot",4,NA,"exp",0,2,20,0.477414293,0.670388286,390,"method_scale","m2"
"Grossman, Jake J.; Cayender-Bares, Jeannine; Reich, Peter B.; Montgomery, Rebecca A.; Hobbie, Sarah E.","Neighborhood diversity simultaneously increased and decreased susceptibility to contrasting herbivores in an early stage forest diversity experiment","10.1111/1365-2745.13097","JOURNAL OF ECOLOGY","forest","North America","plot",9,NA,"exp",0,3,45,0.605278713,0.990771589,390,"method_scale","m2"
"Grossman, Jake J.; Cayender-Bares, Jeannine; Reich, Peter B.; Montgomery, Rebecca A.; Hobbie, Sarah E.","Neighborhood diversity simultaneously increased and decreased susceptibility to contrasting herbivores in an early stage forest diversity experiment","10.1111/1365-2745.13097","JOURNAL OF ECOLOGY","forest","North America","plot",16,NA,"exp",0,4,80,0.714705345,1.308542842,390,"method_scale","m2"
"Komonen, Atte; Overmark, Elsi; Hytonen, Jyrki; Halme, Panu","Tree species influences diversity of ground-dwelling insects in afforested fields","10.1016/j.foreco.2015.04.014","FOREST ECOLOGY AND MANAGEMENT","forest","Europe","plot",225,NA,"exp",0,10,1125,0.834316321,2.023329375,390,"method_scale","m2"
"Komonen, Atte; Overmark, Elsi; Hytonen, Jyrki; Halme, Panu","Tree species influences diversity of ground-dwelling insects in afforested fields","10.1016/j.foreco.2015.04.014","FOREST ECOLOGY AND MANAGEMENT","forest","Europe","plot",2000,NA,"exp",17,18,10000,0.925280501,2.697550375,390,"method_scale","m2"
"Akashi, Nobuhiro","Responses of understory vascular plant communities up to 6 years after retention harvesting in planted Abies sachalinensis forests","10.1016/j.foreco.2023.120991","FOREST ECOLOGY AND MANAGEMENT","forest","Asia","plot",400,NA,"exp",0,11,2000,0.838104571,2.050774715,390,"method_scale","m2"
"Reinhart, KO; Royo, AA; Van der Putten, WH; Clay, K","Soil feedback and pathogen activity in Prunus serotina throughout its native range","10.1111/j.1365-2745.2005.01028.x","JOURNAL OF ECOLOGY","forest","North America","plot",NA,NA,"exp",NA,NA,NA,NA,NA,390,"method_scale",NA
"McDonald, Robert I.; Motzkin, Glenn; Foster, David R.","The effect of logging on vegetation composition in Western Massachusetts","10.1016/j.foreco.2008.03.054","FOREST ECOLOGY AND MANAGEMENT","forest","North America","plot",400,NA,"exp",0,11,2000,0.842431282,2.12394125,390,"method_scale","m2"
"McDonald, Robert I.; Motzkin, Glenn; Foster, David R.","The effect of logging on vegetation composition in Western Massachusetts","10.1016/j.foreco.2008.03.054","FOREST ECOLOGY AND MANAGEMENT","forest","North America","plot",12.57,NA,"exp",0,4,62.85,0.581756776,1.097777358,390,"method_scale","m2"
"McDonald, Robert I.; Motzkin, Glenn; Foster, David R.","The effect of logging on vegetation composition in Western Massachusetts","10.1016/j.foreco.2008.03.054","FOREST ECOLOGY AND MANAGEMENT","forest","North America","plot",78.54,NA,"exp",0,7,392.7,0.808275904,1.784301404,390,"method_scale","m2"
"Odland, M. C.; Goodwin, M. J.; Smithers, B., V; Hurteau, M. D.; North, M. P.","Plant community response to thinning and repeated fire in Sierra Nevada mixed-conifer forest understories","10.1016/j.foreco.2021.119361","FOREST ECOLOGY AND MANAGEMENT","forest",NA,"plot",40000,NA,"exp",50,40,2e+05,0.957970202,3.392651043,390,"method_scale","m2"
"Youngblood, Andrew; Metlen, Kerry L.; Coe, Kent","Changes in stand structure and composition after restoration treatments in low elevation dry forests of northeastern Oregon","10.1016/j.foreco.2006.06.033","FOREST ECOLOGY AND MANAGEMENT","forest","North America","plot",2000,NA,"exp",17,18,10000,0.910628893,2.626320734,390,"method_scale","m2"
"Villar, Nacho; Siqueira, Tadeu; Zipparro, Valesca; Farah, Fabiano; Schmaedecke, Gabriela; Hortenci, Luana; Brocardo, Carlos Rodrigo; Jordano, Pedro; Galetti, Mauro","The cryptic regulation of diversity by functionally complementary large tropical forest herbivores","10.1111/1365-2745.13258","JOURNAL OF ECOLOGY","forest","South America","plot",15,NA,"exp",0,4,75,0.387683045,0.782858789,390,"method_scale","m2"
"Baez, Selene; Homeier, Juergen","Functional traits determine tree growth and ecosystem productivity of a tropical montane forest: Insights from a long-term nutrient manipulation experiment","10.1111/gcb.13905","GLOBAL CHANGE BIOLOGY","forest","South America","plot",400,NA,"exp",0,11,2000,0.84632815,2.063620186,390,"method_scale","m2"
"Damschen, Ellen I.; Brudvig, Lars A.","Landscape connectivity strengthens local-regional richness relationships in successional plant communities","10.1890/11-1797.1","ECOLOGY","grassland","North America","plot",1,NA,"exp",0,1,5,0.995665777,5.557392448,390,"method_scale","m2"
"Griffin-Nolan, Robert J.; Blumenthal, Dana M.; Collins, Scott L.; Farkas, Timothy E.; Hoffman, Ava M.; Mueller, Kevin E.; Ocheltree, Troy W.; Smith, Melinda D.; Whitney, Kenneth D.; Knapp, Alan K.","Shifts in plant functional composition following long-term drought in grasslands","10.1111/1365-2745.13252","JOURNAL OF ECOLOGY","grassland","North America","plot",36,NA,"exp",0,5,180,0.685535348,1.35767122,390,"method_scale","m2"
"Guittar, John; Goldberg, Deborah; Klanderud, Kari; Berge, Astrid; Ramirez Boixaderas, Marta; Meineri, Eric; Topper, Joachim; Vandvik, Vigdis","Quantifying the roles of seed dispersal, filtering, and climate on regional patterns of grassland biodiversity","10.1002/ecy.3061","ECOLOGY","grassland","Europe","plot",0.0625,NA,"exp",0,0,0.3125,0,0,390,"method_scale","m2"
